ra,dec,z,zErr,spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class
1.2941263,0.59830415,0.3980888,7.32E-05,0.1171619,1.352112,7.111196,13.33693,20.482,GALAXY
1.4098797,0.60957674,0.6386955,0.000124656,0.5572323,0.7187825,2.254396,5.639117,9.082108,QSO
1.362854,0.432603,-9.57E-05,2.13E-05,6.568723,12.47683,17.78772,20.62059,22.55177,STAR
1.4019037,0.30727734,0.5354804,0.000119706,0.1357415,0.8507317,3.934399,10.52656,18.12696,GALAXY
1.3548084,0.34197411,0.4515008,0.000133377,0.8307542,0.834775,3.297908,6.560585,10.78243,GALAXY
1.3251365,0.43859925,0.547457,0.000119008,0.753016,0.8774024,2.672402,5.345019,8.773602,GALAXY
1.3825627,0.36087967,0.5344741,0.000166319,0.7880061,0.4682734,2.148476,5.508153,8.881598,GALAXY
1.3587277,0.20305394,0.3585564,6.43E-05,0.8626972,1.69058,8.816159,16.10522,24.49536,GALAXY
1.4690676,0.41906937,0.5923885,0.000182312,-0.1213194,0.3892719,2.052092,5.946328,10.16782,GALAXY
1.3906315,0.19966117,2.380198,0.000898654,0.4453123,0.8955923,0.8361893,0.8985287,1.051354,QSO
1.3263063,0.13278648,0.499424,0.000148623,0.1015647,0.5215155,2.593284,6.401486,11.30896,GALAXY
1.38052,0.14414081,2.848329,0.000291391,2.648546,4.125115,5.57482,5.32278,6.185901,QSO
1.4018586,0.046075921,0.6825936,7.75E-05,-0.4077301,0.4306903,2.130013,6.691339,11.88427,GALAXY
1.4796741,0.045120911,0.7136527,8.68E-05,1.118786,0.9638084,2.727571,7.632182,11.84706,GALAXY
1.5391346,1.0560719,0.7514585,0.000156962,0.5735186,0.6021447,1.516891,3.883327,6.212243,GALAXY
1.3743571,1.2417671,9.05E-05,5.99E-05,0.3892571,1.671652,4.74092,11.31011,19.29622,STAR
1.4963919,1.2492298,0.5069023,0.000120947,0.8854782,0.5889817,3.150566,7.782692,12.26583,GALAXY
1.5355114,1.0040796,0.6134782,0.000149814,1.632472,3.151962,3.651042,5.0227,4.985301,QSO
1.4565906,0.98471489,1.817095,0.000524156,5.418124,6.060327,5.622274,6.615609,7.20811,QSO
1.5233026,1.0676164,0.5468174,0.00014859,-0.2733749,0.5598864,2.694537,8.011584,12.70123,GALAXY
1.3858165,1.0200653,0.5105252,0.000136962,0.02710771,0.725415,3.40289,7.152294,10.54747,GALAXY
1.484513,0.88828,0.09941,3.91E-05,3.484854,8.269764,16.63184,22.42369,29.28445,GALAXY
1.4065959,1.0610475,0.5350554,0.000148111,0.158402,0.620086,2.54767,6.150259,10.25387,GALAXY
1.3801717,1.0507078,0.63995,6.16E-05,0.0691613,0.63191,1.872184,4.267309,5.979039,GALAXY
1.5074654,0.74953738,1.501996,0.000781282,3.490785,2.939137,4.092756,5.998286,7.348141,QSO
1.5110634,0.72357595,0.5138433,0.00012195,0.4247774,0.6754943,3.043356,6.969211,11.03512,GALAXY
1.4348246,0.7517344,0.6712617,0.000133594,0.1604781,0.8634141,2.336565,5.633971,9.00748,GALAXY
